play_num,odk,formation,backfield,play_call,play_type,down,distance,def_front,coverage,yard_line,hash,yards_gained,result,motion,blitz,game_id,side,season,source_file,field_position,distance_bucket,field_zone,formation_play,def_call,form_tagged,play_tagged,tags_ok,def_tagged,is_touchdown,is_turnover,is_penalty,is_incomplete,points_scored,opponent,game_notes
1,O,Slot Dip,,Mary,Run,1,10.0,BEAR,Cover 3,-25.0,,15.0,Rush,Sooner,No,1,offense,26-27,live:Bonham_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Mary,BEAR  |  Cover 3,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
2,O,Slot Dip,,Mary,Run,1,10.0,Even,Cover 1 Press Man,45.0,,-1.0,Sack,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,55.0,long,midfield,Slot Dip  |  Mary,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
3,O,Slot Dip,,Superman,Pass,2,11.0,Even,Cover 1 Press Man,46.0,,0.0,Incomplete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,54.0,long,midfield,Slot Dip  |  Superman,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,True,0,Bonham Scrimmage,Live Track
4,O,Slot Trig,,Superman,Pass,3,11.0,Even,Cover 1 Press Man,46.0,,5.0,Penalty,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,54.0,long,midfield,Slot Trig  |  Superman,Even  |  Cover 1 Press Man,1,1,1,1,False,False,True,False,0,Bonham Scrimmage,Live Track
5,O,Slot Trig,,Batman,Pass,3,6.0,Even,Cover 1 Press Man,41.0,,25.0,Complete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,59.0,medium,midfield,Slot Trig  |  Batman,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
6,O,Slot Trig,,Fist,Pass,1,10.0,Bear,Cover 1 Press Man,16.0,,0.0,Incomplete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,84.0,long,red_zone,Slot Trig  |  Fist,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,True,0,Bonham Scrimmage,Live Track
7,O,Slot Trig,,Horns,Run,2,10.0,Even,Cover 1 Press Man,16.0,,0.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,84.0,long,red_zone,Slot Trig  |  Horns,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
8,O,Slot Trig,,Horns Bear,Pass,3,10.0,Bear,Cover 1 Press Man,16.0,,0.0,Incomplete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,84.0,long,red_zone,Slot Trig  |  Horns Bear,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,True,0,Bonham Scrimmage,Live Track
9,O,Slot Dip,,Ice,Pass,4,10.0,Even,Cover 1 Press Man,16.0,,10.0,"Complete, TD",nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,84.0,long,red_zone,Slot Dip  |  Ice,Even  |  Cover 1 Press Man,1,1,1,1,True,False,False,False,6,Bonham Scrimmage,Live Track
10,O,Slot Dip,,Superman,Pass,1,10.0,Bear,Cover 1,1.0,,0.0,Incomplete,nan,,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,long,red_zone,Slot Dip  |  Superman,Bear  |  Cover 1,1,1,1,1,False,False,False,True,0,Bonham Scrimmage,Live Track
11,O,Slot Dip,,Horns Bear,Run,2,10.0,Even,Cover 1 Press Man,1.0,,0.0,Interception,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,long,red_zone,Slot Dip  |  Horns Bear,Even  |  Cover 1 Press Man,1,1,1,1,False,True,False,False,0,Bonham Scrimmage,Live Track
12,O,Slot Trig,,Horns,Run,1,10.0,Bear,Cover 1 Press Man,1.0,,4.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,long,red_zone,Slot Trig  |  Horns,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
13,O,Slot Dip,,Horns Bear,Run,2,6.0,Even,Cover 1 Press Man,1.0,,3.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,medium,red_zone,Slot Dip  |  Horns Bear,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
14,O,Slot Dip,,horns,Run,3,3.0,Bear,Cover 1 Press Man,1.0,,0.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,short,red_zone,Slot Dip  |  horns,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
15,O,Slot Trig,,Joker,Pass,4,3.0,Even,Cover 1 Press Man,1.0,,3.0,"Complete, TD",nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,99.0,short,red_zone,Slot Trig  |  Joker,Even  |  Cover 1 Press Man,1,1,1,1,True,False,False,False,6,Bonham Scrimmage,Live Track
16,O,Slot Trig,,Horns,Run,1,10.0,Even,Cover 1 Press Man,-30.0,,8.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,30.0,long,own_territory,Slot Trig  |  Horns,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
17,O,Slot Trig,,Heels,Run,2,2.0,Bear,Cover 1 Press Man,-38.0,,4.0,Rush,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,38.0,short,own_territory,Slot Trig  |  Heels,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
18,O,Slot Trig,,Wizard,Pass,1,10.0,Bear,Cover 1 Press Man,-42.0,,0.0,Incomplete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,42.0,long,midfield,Slot Trig  |  Wizard,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,True,0,Bonham Scrimmage,Live Track
19,O,Slot Trig,,Ireland,Run,2,10.0,Even,Cover 1 Press Man,-42.0,,-2.0,Sack,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,42.0,long,midfield,Slot Trig  |  Ireland,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
20,O,Slot Trig,,Cyborg,Pass,3,12.0,Even,Cover 1 Press Man,-40.0,,20.0,Complete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,40.0,long,own_territory,Slot Trig  |  Cyborg,Even  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
21,O,Slot Trig,,Army Bronco,Pass,1,10.0,Bear,Cover 1 Press Man,40.0,,9.0,Complete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,60.0,long,midfield,Slot Trig  |  Army Bronco,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
22,O,Slot Dip,,Horns Bear,Pass,2,1.0,Bear,Cover 1 Press Man,31.0,,10.0,Complete,nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,69.0,short,opp_territory,Slot Dip  |  Horns Bear,Bear  |  Cover 1 Press Man,1,1,1,1,False,False,False,False,0,Bonham Scrimmage,Live Track
23,O,Slot Trig,,Horns Return,Pass,1,10.0,Even,Cover 1 Press Man,21.0,,10.0,"Complete, TD",nan,No,1,offense,26-27,live:Bonham_Scrimmage.csv,79.0,long,opp_territory,Slot Trig  |  Horns Return,Even  |  Cover 1 Press Man,1,1,1,1,True,False,False,False,6,Bonham Scrimmage,Live Track
