play_num,odk,formation,backfield,play_call,play_type,down,distance,def_front,coverage,yard_line,hash,yards_gained,result,motion,blitz,game_id,side,season,source_file,field_position,distance_bucket,field_zone,formation_play,def_call,form_tagged,play_tagged,tags_ok,def_tagged,is_touchdown,is_turnover,is_penalty,is_incomplete,points_scored,opponent,game_notes
1,O,Slot Dip,,Horns,Run,1,10.0,Even,0.0,-25.0,,0.0,Rush,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Horns,Even  |  0.0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
2,O,Slot Dip,,Horns Bear,Run,2,10.0,Even,0.0,-25.0,,5.0,Rush,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Horns Bear,Even  |  0.0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
3,O,Slot Dip,,Return,Pass,3,5.0,Even,0.0,-30.0,,8.0,Complete,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,30.0,medium,own_territory,Slot Dip  |  Return,Even  |  0.0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
4,O,Slot Dip,,Vegas,Pass,1,10.0,Even,0.0,-38.0,,10.0,"Complete, TD",nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,38.0,long,own_territory,Slot Dip  |  Vegas,Even  |  0.0,1,1,1,1,True,False,False,False,6,Cooper Scrimmage,Live Track
5,O,Slot Dip,,Axle,Run,1,10.0,Even,Cover 4,-25.0,,0.0,Rush,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Axle,Even  |  Cover 4,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
6,O,Slot Dip,,Superman,Pass,2,10.0,Even,Cover 0,-25.0,,0.0,Incomplete,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Superman,Even  |  Cover 0,1,1,1,1,False,False,False,True,0,Cooper Scrimmage,Live Track
7,O,Slot Dip,,Wizard,Pass,3,10.0,Even,Cover 0,-25.0,,14.0,Complete,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,25.0,long,own_territory,Slot Dip  |  Wizard,Even  |  Cover 0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
8,O,Trix,,Horns,Run,1,10.0,Even,Cover 0,-39.0,,4.0,Rush,nan,No,2,offense,26-27,live:Cooper_Scrimmage.csv,39.0,long,own_territory,Trix  |  Horns,Even  |  Cover 0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
9,O,Slot Trig,,Horns,Run,2,6.0,Even,Cover 0,-43.0,,0.0,Rush,nan,,2,offense,26-27,live:Cooper_Scrimmage.csv,43.0,medium,midfield,Slot Trig  |  Horns,Even  |  Cover 0,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
10,O,Slot Trig,,Ireland,Run,3,6.0,Even,Cover 4,-43.0,,-15.0,Penalty,nan,,2,offense,26-27,live:Cooper_Scrimmage.csv,43.0,medium,midfield,Slot Trig  |  Ireland,Even  |  Cover 4,1,1,1,1,False,False,True,False,0,Cooper Scrimmage,Live Track
11,O,Slot Trig,,Cyborg,Pass,3,21.0,Even,Cover 4,-28.0,,0.0,Incomplete,nan,,2,offense,26-27,live:Cooper_Scrimmage.csv,28.0,long,own_territory,Slot Trig  |  Cyborg,Even  |  Cover 4,1,1,1,1,False,False,False,True,0,Cooper Scrimmage,Live Track
12,O,Slot Dip,,Firework,Pass,4,21.0,Even,Cover 4,-28.0,,8.0,Complete,nan,,2,offense,26-27,live:Cooper_Scrimmage.csv,28.0,long,own_territory,Slot Dip  |  Firework,Even  |  Cover 4,1,1,1,1,False,False,False,False,0,Cooper Scrimmage,Live Track
